time,n_alive,hiv.prevalence_15_49,hiv.n_infected,hiv.new_infections,hiv.new_deaths,hiv.n_on_art
1990,10113893,0.064307403,650398.1894,220610.6639,19493.01613,0
1991,10377815,0.080591831,836367.1097,240208.3526,27903.42327,0
1992,10641501,0.095323752,1014387.805,243517.1114,37426.04273,0
1993,10794918,0.108515293,1171413.694,234924.1657,47616.35714,0
1994,10858594,0.119882992,1301760.737,219800.393,57881.85632,0
1995,10994041,0.127607,1402916.589,202392.3041,67765.36032,0
1996,11178171,0.131945555,1474909.975,185020.1679,76772.88767,0
1997,11362401,0.133795943,1520243.155,169071.9983,84761.75169,0
1998,11548364,0.133573494,1542555.335,154949.3637,91477.22028,0
1999,11716454,0.131919126,1545624.368,142548.6849,96772.12667,0
2000,11834676,0.12957522,1533480.742,131570.8807,100653.4561,0
2001,11910978,0.126722254,1509385.984,121485.5232,102974.9548,10
2002,11984644,0.12311859,1475532.476,112182.5692,104080.6062,50
2003,12075828,0.118829699,1434967.012,103952.5136,103814.2167,136
2004,12160881,0.11439184,1391105.55,98537.27868,100626.7245,11599
2005,12224753,0.110575331,1351756.115,94726.89957,94712.66359,27278
2006,12330490,0.106901801,1318151.592,92572.57727,86866.01409,58840
2007,12450568,0.103947045,1294199.75,90631.84334,77472.40772,97748
2008,12550347,0.101763895,1277172.19,88629.9047,68057.4928,146025
2009,12679810,0.100063824,1268790.282,86360.21206,58590.58924,216508
2010,12839771,0.099373489,1275932.839,80573.92144,48673.71986,356027
2011,13025785,0.099075236,1290532.719,72346.50899,40032.22684,475858
2012,13265331,0.098593068,1307869.677,62250.14777,34358.58703,565675
2013,13555422,0.097409237,1320423.311,58204.65161,30563.74506,655199
2014,13855753,0.095953821,1329512.439,53703.12681,27910.19371,787980
2015,14154937,0.094456061,1337019.593,49779.635,26451.3338,879271
2016,14452704,0.092839376,1341780.015,44851.31328,25837.06344,975667
2017,14751101,0.091008746,1342479.2,38831.12,25422.27108,1119909
2018,15052184,0.088921082,1338456.486,32853.39789,24446.71877,1150079
2019,15354608,0.086568539,1329225.983,26184.00705,23111.3745,1146532
2020,15669666,0.083890786,1314540.602,21937.75653,21550.6007,1184901
2021,15993524,0.08097486,1295073.362,20305.18407,19914.23738,1188636
2022,16320537,,,,,